CustomerID,Recency,Frequency,TotalQuantity,Country,GrossMonetary,Monetary,CancelledAmount,ReturnRate,R,F,M,RFM_Segment,RFM_Score,ValueSegment,ValueSegmentRank,CustomerPersona,PersonaRank
12346,326,1,74215,United Kingdom,77183.6,0.0,77183.6,1.0,1,1,1,111,3,Low-value,1,Hibernating,10
12347,2,7,2458,Iceland,4310.0,4310.0,0.0,0.0,5,5,5,555,15,High-value,3,Champions,1
12348,75,4,2341,Finland,1797.24,1797.24,0.0,0.0,2,4,4,244,10,High-value,3,Do Not Lose,9
12349,19,1,631,Italy,1757.55,1757.55,0.0,0.0,4,1,4,414,9,Mid-value,2,Hibernating,10
12350,310,1,197,Norway,334.40000000000003,334.40000000000003,0.0,0.0,1,1,2,112,4,Low-value,1,Hibernating,10
12352,36,8,536,Norway,2506.04,1545.41,960.6299999999999,0.3833,3,5,4,354,12,High-value,3,Loyal Customers,2
12353,204,1,20,Bahrain,89.0,89.0,0.0,0.0,1,1,1,111,3,Low-value,1,Hibernating,10
12354,232,1,530,Spain,1079.4,1079.4,0.0,0.0,1,1,4,114,6,Mid-value,2,Hibernating,10
12355,214,1,240,Bahrain,459.40000000000003,459.40000000000003,0.0,0.0,1,1,2,112,4,Low-value,1,Hibernating,10
12356,23,3,1591,Portugal,2811.43,2811.43,0.0,0.0,4,3,5,435,12,High-value,3,Potential Champions,3
12357,33,1,2708,Switzerland,6207.67,6207.67,0.0,0.0,4,1,5,415,10,High-value,3,Hibernating,10
12358,2,2,248,Austria,1168.06,1168.06,0.0,0.0,5,2,4,524,11,High-value,3,Potential Champions,3
12359,58,4,1609,Cyprus,6310.03,6182.9800000000005,127.04999999999927,0.0201,3,4,5,345,12,High-value,3,Loyal Customers,2
12360,52,3,1165,Austria,2662.06,2662.06,0.0,0.0,3,3,5,335,11,High-value,3,Need Attention,6
12361,287,1,91,Belgium,189.9,189.9,0.0,0.0,1,1,1,111,3,Low-value,1,Hibernating,10
12362,3,10,2229,Belgium,5226.2300000000005,5154.58,71.65000000000055,0.0137,5,5,5,555,15,High-value,3,Champions,1
12363,110,2,408,Unspecified,552.0,552.0,0.0,0.0,2,2,3,223,7,Mid-value,2,Hibernating,10
12364,8,4,1506,Belgium,1313.1,1313.1,0.0,0.0,5,4,4,544,13,High-value,3,Champions,1
12365,291,2,174,Cyprus,641.38,320.69,320.69,0.5,1,2,2,122,5,Mid-value,2,Hibernating,10
12367,4,1,173,Denmark,168.9,168.9,0.0,0.0,5,1,1,511,7,Mid-value,2,New Customers,4
12370,51,4,2352,Cyprus,3541.94,3541.94,0.0,0.0,3,4,5,345,12,High-value,3,Loyal Customers,2
12371,45,2,591,Switzerland,1887.96,1887.96,0.0,0.0,3,2,4,324,9,Mid-value,2,Hibernating,10
12372,72,3,794,Denmark,1298.04,1298.04,0.0,0.0,3,3,4,334,10,High-value,3,Need Attention,6
12373,311,1,197,Austria,364.6,364.6,0.0,0.0,1,1,2,112,4,Low-value,1,Hibernating,10
12374,25,1,342,Austria,742.9300000000001,742.9300000000001,0.0,0.0,4,1,3,413,8,Mid-value,2,Hibernating,10
12375,11,2,178,Finland,457.5,455.42,2.079999999999984,0.0045,5,2,2,522,9,Mid-value,2,Potential Champions,3
12377,315,2,944,Switzerland,1628.1200000000001,1628.1200000000001,0.0,0.0,1,2,4,124,7,Mid-value,2,Hibernating,10
12378,130,1,2529,Switzerland,4008.62,4008.62,0.0,0.0,2,1,5,215,8,Mid-value,2,Hibernating,10
12379,82,2,407,Belgium,852.24,850.29,1.9500000000000455,0.0023,2,2,3,223,7,Mid-value,2,Hibernating,10
12380,22,4,1127,Belgium,2724.81,2720.56,4.25,0.0016,4,4,5,445,13,High-value,3,Loyal Customers,2
12381,5,5,808,Norway,1845.31,1803.96,41.34999999999991,0.0224,5,4,4,544,13,High-value,3,Champions,1
12383,185,5,1532,Belgium,1850.56,1839.31,11.25,0.0061,1,4,4,144,9,Mid-value,2,Do Not Lose,9
12384,29,2,126,Switzerland,585.27,566.16,19.110000000000014,0.0327,4,2,3,423,9,Mid-value,2,Potential Champions,3
12386,338,2,354,Australia,401.9,401.9,0.0,0.0,1,2,2,122,5,Mid-value,2,Hibernating,10
12388,16,6,1462,Australia,2780.6600000000003,2780.6600000000003,0.0,0.0,4,4,5,445,13,High-value,3,Loyal Customers,2
12390,80,1,353,Belgium,549.84,549.84,0.0,0.0,2,1,3,213,6,Mid-value,2,Hibernating,10
